model,bits,granularity,seed,exception,d_sink_ppl,d_sink_total_nats,d_sink_non_sink_nats,d_sink_at_sink_nats,contamination_share,n_sink_positions,n_total_positions
gpt2_small,8,per_token,4,position_0,0.14075345585312604,0.004714998025970196,0.004714998025970196,,1.0,0,255
qwen3_0.6b_base,4,per_tensor,0,position_0,1423300.845378068,1.5972237434120249,1.5972237434120249,,1.0,0,255
qwen3_0.6b_base,4,per_tensor,1,position_0,932385.719770129,1.9288350132450347,1.9288350132450347,,1.0,0,255
qwen3_0.6b_base,4,per_tensor,2,position_0,2622469.856341524,2.6312307471921894,2.6312307471921894,,1.0,0,255
qwen3_0.6b_base,4,per_tensor,3,position_0,4218124.600800429,3.009821244815276,3.009821244815276,,1.0,0,255
qwen3_0.6b_base,4,per_tensor,4,position_0,2715295.176169818,2.4044994455123074,2.4044994455123074,,1.0,0,255
qwen3_0.6b_base,4,per_token,0,position_0,247715.45321279968,3.71197414976435,3.71197414976435,,1.0,0,255
qwen3_0.6b_base,4,per_token,1,position_0,247715.45321279968,3.71197414976435,3.71197414976435,,1.0,0,255
qwen3_0.6b_base,4,per_token,2,position_0,247715.45321279968,3.71197414976435,3.71197414976435,,1.0,0,255
qwen3_0.6b_base,4,per_token,3,position_0,247715.45321279968,3.71197414976435,3.71197414976435,,1.0,0,255
qwen3_0.6b_base,4,per_token,4,position_0,247715.45321279968,3.71197414976435,3.71197414976435,,1.0,0,255
qwen3_0.6b_base,6,per_tensor,0,position_0,1051.8262138538585,1.2310831626695853,1.2310831626695853,,1.0,0,255
qwen3_0.6b_base,6,per_tensor,1,position_0,1012.198505956422,1.1492110368951627,1.1492110368951627,,1.0,0,255
qwen3_0.6b_base,6,per_tensor,2,position_0,773.5733910489291,0.8556773608627468,0.8556773608627468,,1.0,0,255
qwen3_0.6b_base,6,per_tensor,3,position_0,1160.8223592174484,1.3684155427819649,1.3684155427819649,,1.0,0,255
qwen3_0.6b_base,6,per_tensor,4,position_0,942.7083757870935,1.0758213386234416,1.0758213386234416,,1.0,0,255
qwen3_0.6b_base,6,per_token,0,position_0,1.0621892846402687,0.03929452464306049,0.03929452464306049,,1.0,0,255
qwen3_0.6b_base,6,per_token,1,position_0,1.0621892846402687,0.03929452464306049,0.03929452464306049,,1.0,0,255
qwen3_0.6b_base,6,per_token,2,position_0,1.0621892846402687,0.03929452464306049,0.03929452464306049,,1.0,0,255
qwen3_0.6b_base,6,per_token,3,position_0,1.0621892846402687,0.03929452464306049,0.03929452464306049,,1.0,0,255
qwen3_0.6b_base,6,per_token,4,position_0,1.0621892846402687,0.03929452464306049,0.03929452464306049,,1.0,0,255
qwen3_0.6b_base,8,per_tensor,0,position_0,11.411254349032024,0.43776120889878056,0.43776120889878056,,1.0,0,255
qwen3_0.6b_base,8,per_tensor,1,position_0,13.033650803177895,0.4850521532139509,0.4850521532139509,,1.0,0,255
qwen3_0.6b_base,8,per_tensor,2,position_0,10.63905839047101,0.4152916293834683,0.4152916293834683,,1.0,0,255
qwen3_0.6b_base,8,per_tensor,3,position_0,11.029533067453837,0.43337952438544747,0.43337952438544747,,1.0,0,255
qwen3_0.6b_base,8,per_tensor,4,position_0,11.545420146613818,0.44408191710586387,0.44408191710586387,,1.0,0,255
qwen3_0.6b_base,8,per_token,0,position_0,0.1770800728146824,0.00957030880664167,0.00957030880664167,,1.0,0,255
qwen3_0.6b_base,8,per_token,1,position_0,0.1770800728146824,0.00957030880664167,0.00957030880664167,,1.0,0,255
qwen3_0.6b_base,8,per_token,2,position_0,0.1770800728146824,0.00957030880664167,0.00957030880664167,,1.0,0,255
qwen3_0.6b_base,8,per_token,3,position_0,0.1770800728146824,0.00957030880664167,0.00957030880664167,,1.0,0,255
qwen3_0.6b_base,8,per_token,4,position_0,0.1770800728146824,0.00957030880664167,0.00957030880664167,,1.0,0,255
