model,seed,bits,granularity,exception,ppl_ref,ppl_quant,delta_ppl,delta_nll,nll_all,nll_sink,nll_non_sink,n_sink_cols,n_total_cols,n_exempt_positions,corpus_sha256,holdout_sha,source
gated_1b_baseline,3,6,per_token,none,14.70770960215786,18.528023278190147,3.8203136760322867,0.23091253873479056,2.9192843577687975,,2.9192843577687975,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_none_calib3.json
gated_1b_baseline,4,6,per_token,none,14.70770960215786,18.528023278190147,3.8203136760322867,0.23091253873479056,2.9192843577687975,,2.9192843577687975,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_none_calib4.json
gated_1b_baseline,0,6,per_token,position_0,14.70770960215786,18.339476355535403,3.6317667533775424,0.22068409534391398,2.909055914377921,,2.909055914377921,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_position_0_calib0.json
gated_1b_baseline,1,6,per_token,position_0,14.70770960215786,18.339476355535403,3.6317667533775424,0.22068409534391398,2.909055914377921,,2.909055914377921,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_position_0_calib1.json
gated_1b_baseline,2,6,per_token,position_0,14.70770960215786,18.339476355535403,3.6317667533775424,0.22068409534391398,2.909055914377921,,2.909055914377921,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_position_0_calib2.json
gated_1b_baseline,3,6,per_token,position_0,14.70770960215786,18.339476355535403,3.6317667533775424,0.22068409534391398,2.909055914377921,,2.909055914377921,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_position_0_calib3.json
gated_1b_baseline,0,8,per_tensor,none,14.70770960215786,32.65019418789903,17.94248458574117,0.7974789842327383,3.4858508032667452,,3.4858508032667452,0,255,0,,,gated_1b_baseline_b8_per_tensor_none_calib0.json
gated_1b_baseline,1,8,per_tensor,none,14.70770960215786,31.93545499757209,17.22774539541423,0.7753450154926442,3.463716834526651,,3.463716834526651,0,255,0,,,gated_1b_baseline_b8_per_tensor_none_calib1.json
gated_1b_baseline,2,8,per_tensor,none,14.70770960215786,35.39529652133455,20.687586919176688,0.8782071256492019,3.566578944683209,,3.566578944683209,0,255,0,,,gated_1b_baseline_b8_per_tensor_none_calib2.json
gated_1b_baseline,3,8,per_tensor,none,14.70770960215786,31.692784838424107,16.985075236266248,0.7677172283219917,3.4560890473559986,,3.4560890473559986,0,255,0,,,gated_1b_baseline_b8_per_tensor_none_calib3.json
